time_s,target,measurement,control,applied_control,error,integral,derivative
1.86,3.0,0.9692504382834899,1.0,1.0,2.031909922536001,0.0,-0.060207401011314055
1.8800000000000001,3.0,0.9703686041640902,1.0,1.0,2.03074956171651,0.0,-0.0580180409745612
1.9000000000000001,3.0,0.9714461094672142,1.0,1.0,2.02963139583591,0.0,-0.055908294029993755
1.92,3.0,0.9724844327593155,1.0,1.0,2.028553890532786,0.0,-0.05387526515621133
1.94,3.0,0.973484998840795,1.0,1.0,2.0275155672406844,0.0,-0.051916164605070314
1.96,3.0,0.9744491807011297,1.0,1.0,2.026515001159205,0.0,-0.050028304073967966
1.98,3.0,0.9753783014029068,1.0,1.0,2.0255508192988705,0.0,-0.04820909301672671
2.0,3.0,0.9762736358973466,1.0,1.0,2.0246216985970933,0.0,-0.04645603508885987
2.02,3.0,0.9771364127738067,1.0,1.0,2.0237263641026533,0.0,-0.04476672472200072
2.04,3.0,0.9779678159456683,1.0,1.0,2.022863587226193,0.0,-0.04313884382300959
2.06,3.0,0.9787689862749167,1.0,1.0,2.0220321840543316,0.0,-0.04157015859307389
2.08,3.0,0.979541023137647,1.0,1.0,2.0212310137250835,0.0,-0.04005851646240455
2.1,3.0,0.9802849859326417,1.0,1.0,2.020458976862353,0.0,-0.03860184313653203
2.12,3.0,0.9810018955350911,1.0,1.0,2.0197150140673585,0.0,-0.03719813974971675
2.14,3.0,0.9816927356974514,1.0,1.0,2.018998104464909,0.0,-0.035845480122476125
2.16,3.0,0.9823584543993623,1.0,1.0,2.018307264302549,0.0,-0.03454200811801034
2.18,3.0,0.9829999651484764,1.0,1.0,2.017641545600638,0.0,-0.033285935095550556
2.2,3.0,0.9836181482339864,1.0,1.0,2.017000034851524,0.0,-0.03207553745570024
2.22,3.0,0.9842138519345687,1.0,1.0,2.0163818517660137,0.0,-0.03090915427550467
2.24,3.0,0.9847878936824025,1.0,1.0,2.0157861480654313,0.0,-0.029785185029118644
2.2600000000000002,3.0,0.9853410611848605,1.0,1.0,2.0152121063175974,0.0,-0.02870208739169655
2.2800000000000002,3.0,0.9858741135054111,1.0,1.0,2.0146589388151392,0.0,-0.027658375122907586
2.3000000000000003,3.0,0.9863877821052144,1.0,1.0,2.014125886494589,0.0,-0.02665261602752267
2.32,3.0,0.9868827718468429,1.0,1.0,2.0136122178947855,0.0,-0.025683429990164264
2.34,3.0,0.9873597619615032,1.0,1.0,2.013117228153157,0.0,-0.02474948708142133
2.36,3.0,0.987819406981085,1.0,1.0,2.0126402380384967,0.0,-0.023849505733020138
2.38,3.0,0.9882623376363182,1.0,1.0,2.012180593018915,0.0,-0.02298225097907558
2.4,3.0,0.9886891617222703,1.0,1.0,2.011737662363682,0.0,-0.02214653276166878
2.42,3.0,0.9891004649323696,1.0,1.0,2.01131083827773,0.0,-0.021341204297598004
2.44,3.0,0.9894968116621016,1.0,1.0,2.0108995350676304,0.0,-0.020565160504970592
2.46,3.0,0.9898787457834797,1.0,1.0,2.0105031883378985,0.0,-0.019817336486593895
2.48,3.0,0.9902467913913532,1.0,1.0,2.0101212542165205,0.0,-0.01909670606889957
2.5,3.0,0.9906014535225767,1.0,1.0,2.0097532086086467,0.0,-0.018402280393692294
2.52,3.0,0.9909432188490285,1.0,1.0,2.0093985464774233,0.0,-0.017733106561168555
2.54,3.0,0.9912725563454274,1.0,1.0,2.0090567811509716,0.0,-0.017088266322584644
2.56,3.0,0.9915899179328664,1.0,1.0,2.0087274436545726,0.0,-0.01646687481995368
2.58,3.0,0.991895739098944,1.0,1.0,2.0084100820671336,0.0,-0.015868079371950117
2.6,3.0,0.992190439495346,1.0,1.0,2.0081042609010558,0.0,-0.015291058303890104
2.62,3.0,0.9924744235136971,1.0,1.0,2.007809560504654,0.0,-0.014735019820077966
2.64,3.0,0.9927480808404717,1.0,1.0,2.007525576486303,0.0,-0.014199200917563992
2.66,3.0,0.9930117869917273,1.0,1.0,2.007251919159528,0.0,-0.013682866338737831
2.68,3.0,0.9932659038283917,1.0,1.0,2.0069882130082726,0.0,-0.013185307562779691
2.7,3.0,0.9935107800528139,1.0,1.0,2.0067340961716083,0.0,-0.012705841833215992
2.72,3.0,0.993746751687257,1.0,1.0,2.006489219947186,0.0,-0.012243811221113177
2.74,3.0,0.9939741425349932,1.0,1.0,2.006253248312743,0.0,-0.011798581722155532
2.7600000000000002,3.0,0.9941932646246298,1.0,1.0,2.0060258574650067,0.0,-0.011369542386807652
2.7800000000000002,3.0,0.9944044186382796,1.0,1.0,2.00580673537537,0.0,-0.010956104481829598
2.8000000000000003,3.0,0.9946078943241603,1.0,1.0,2.0055955813617206,0.0,-0.010557700682478632
2.82,3.0,0.9948039708941908,1.0,1.0,2.0053921056758397,0.0,-0.010173784294043031
2.84,3.0,0.9949929174071294,1.0,1.0,2.005196029105809,0.0,-0.009803828501531164
2.86,3.0,0.9951749931377792,1.0,1.0,2.0050070825928707,0.0,-0.009447325646916305
2.88,3.0,0.9953504479327691,1.0,1.0,2.004825006862221,0.0,-0.009103786532493885
2.9,3.0,0.9955195225533956,1.0,1.0,2.0046495520672307,0.0,-0.00877273974950743
2.92,3.0,0.9956824490059994,1.0,1.0,2.0044804774466045,0.0,-0.008453731031310419
2.94,3.0,0.9958394508603268,1.0,1.0,2.0043175509940006,0.0,-0.0081463226301981
2.96,3.0,0.9959907435563149,1.0,1.0,2.004160549139673,0.0,-0.007850092716377155
2.98,3.0,0.9961365346997216,1.0,1.0,2.004009256443685,0.0,-0.007564634799406278
3.0,3.0,0.9962770243470045,1.0,1.0,2.0038634653002783,0.0,-0.007289557170331307
3.02,3.0,0.9964124052798407,1.0,1.0,2.0037229756529955,0.0,-0.007024482364137441
3.04,3.0,0.9965428632696647,1.0,1.0,2.0035875947201593,0.0,-0.006769046641807996
3.06,3.0,0.996668577332586,1.0,1.0,2.0034571367303355,0.0,-0.006522899491190337
3.08,3.0,0.9967897199750374,1.0,1.0,2.003331422667414,0.0,-0.006285703146069466
3.1,3.0,0.9969064574304906,1.0,1.0,2.0032102800249625,0.0,-0.0060571321225832975
3.12,3.0,0.9970189498875637,1.0,1.0,2.0030935425695096,0.0,-0.005836872772646551
3.14,3.0,0.9971273517098341,1.0,1.0,2.002981050112436,0.0,-0.005624622853672712
3.16,3.0,0.9972318116476584,1.0,1.0,2.002872648290166,0.0,-0.005420091113506054
3.18,3.0,0.997332473042289,1.0,1.0,2.0027681883523414,0.0,-0.0052229968912298474
3.2,3.0,0.9974294740225694,1.0,1.0,2.002667526957711,0.0,-0.005033069731519291
3.22,3.0,0.997522947694476,1.0,1.0,2.0025705259774305,0.0,-0.004850049014026858
3.24,3.0,0.9976130223237678,1.0,1.0,2.002477052305524,0.0,-0.004673683595313172
3.2600000000000002,3.0,0.9976998215119944,1.0,1.0,2.002386977676232,0.0,-0.004503731464611249
3.2800000000000002,3.0,0.9977834643661038,1.0,1.0,2.0023001784880057,0.0,-0.004339959411314709
