time_s,target,measurement,control,applied_control,error,integral,derivative
0.0,2.0,0.04363636363636363,1.2,1.2,2.0,0.0,100.0
0.02,2.0,0.08568595041322313,1.2,1.2,1.9563636363636363,0.0,-2.1818181818181848
0.04,2.0,0.12620646130728774,1.2,1.2,1.914314049586777,0.0,-2.1024793388429663
0.06,2.0,0.16525349907793183,1.2,1.2,1.8737935386927123,0.0,-2.026025544703236
0.08,2.0,0.20288064456600702,1.2,1.2,1.8347465009220683,0.0,-1.9523518885322
0.1,2.0,0.2391395302181522,1.2,1.2,1.797119355433993,0.0,-1.881357274403761
0.12,2.0,0.2740799109374921,1.2,1.2,1.7608604697818477,0.0,-1.812944282607265
0.14,2.0,0.30774973235794695,1.2,1.2,1.725920089062508,0.0,-1.7470190359669902
0.16,2.0,0.3401951966358398,1.2,1.2,1.692250267642053,0.0,-1.6834910710227469
0.18,2.0,0.37146082584908197,1.2,1.2,1.6598048033641601,0.0,-1.6222732138946427
0.2,2.0,0.40158952309093354,1.2,1.2,1.628539174150918,0.0,-1.5632814606621026
0.22,2.0,0.4306226313421723,1.2,1.2,1.5984104769090663,0.0,-1.5064348620925871
0.24,2.0,0.45859999020245695,1.2,1.2,1.5693773686578276,0.0,-1.4516554125619363
0.26,2.0,0.4855599905587312,1.2,1.2,1.541400009797543,0.0,-1.398867943014226
0.28,2.0,0.5115396272656865,1.2,1.2,1.5144400094412687,0.0,-1.348000017813722
0.3,2.0,0.5365745499105706,1.2,1.2,1.4884603727343135,0.0,-1.2989818353477567
0.32,2.0,0.5606991117320044,1.2,1.2,1.4634254500894293,0.0,-1.2517461322442136
0.34,2.0,0.5839464167599315,1.2,1.2,1.4393008882679956,0.0,-1.2062280910716816
0.36,2.0,0.6063483652413886,1.2,1.2,1.4160535832400685,0.0,-1.1623652513963578
0.38,2.0,0.627935697414429,1.2,1.2,1.3936516347586114,0.0,-1.1200974240728523
0.4,2.0,0.648738035690268,1.2,1.2,1.372064302585571,0.0,-1.0793666086520215
0.42,2.0,0.668783925301531,1.2,1.2,1.351261964309732,0.0,-1.0401169137919442
0.44,2.0,0.6881008734723844,1.2,1.2,1.3312160746984691,0.0,-1.0022944805631484
0.46,2.0,0.7067153871642976,1.2,1.2,1.3118991265276156,0.0,-0.9658474085426749
