time_s,left_rad_s,right_rad_s,left_ctrl,right_ctrl,left_error,right_error
0.0,0.4847999999999999,0.6464,8.483999999999998,11.312,6.0,8.0
0.02,0.9075253028571428,1.2100337371428571,7.8824928,10.5099904,5.5152,7.3536
0.04,1.2763508296515917,1.7018011062021223,7.36197202176,9.81596269568,5.092474697142857,6.789966262857143
0.06,1.5983734892505095,2.1311646523340126,6.911747372632649,9.215663163510198,4.723649170348408,6.298198893797878
0.08,1.8797543424558893,2.506339123274519,6.522538420344658,8.696717893792878,4.401626510749491,5.868835347665987
0.1,2.1258420180334237,2.834456024044565,6.186288665062743,8.248384886750323,4.12024565754411,5.493660876725481
0.12,2.341279853060184,3.1217064707469118,5.896004131001727,7.861338841335636,3.8741579819665763,5.165543975955435
0.14,2.5300989039722546,3.3734652052963394,5.645613244021419,7.527484325361894,3.658720146939816,4.878293529253089
0.16,2.6957986916360634,3.594398255514751,5.429845188088909,7.239793584118546,3.4699010960277454,4.626534794703661
0.18,2.841417298038384,3.7885563973845118,5.244124303676672,6.992165738235563,3.3042013083639366,4.405601744485249
0.2,2.9695922188670982,3.959456291822798,5.084478412540886,6.779304550054515,3.158582701961616,4.211443602615488
0.22,3.0826131910642096,4.1101509214189464,4.947459232316546,6.596612309755394,3.0304077811329018,4.040543708177202
0.24,3.1824680536642944,4.243290738219059,4.830073286565692,6.440097715420922,2.9173868089357904,3.8898490785810536
0.26,3.2708825606648646,4.361176747553153,4.729721926174273,6.306295901565697,2.8175319463357056,3.756709261780941
0.28,3.3493549435139673,4.465806591351957,4.644149260524166,6.192199014032221,2.7291174393351354,3.638823252446847
0.3,3.419185915617525,4.558914554156701,4.571396955326227,6.095195940434968,2.6506450564860327,3.5341934086480427
0.32,3.4815047199572438,4.642006293276325,4.5097649915626015,6.013019988750134,2.580814084382475,3.4410854458432993
0.34,3.537291741640121,4.7163889888534944,4.457777599407593,5.943703465876791,2.5184952800427562,3.3579937067236747
0.36,3.587398138384606,4.783197517846141,4.414153684668603,5.885538246224805,2.462708258359879,3.2836110111465056
0.38,3.6325628822077105,4.843417176276947,4.37778115528894,5.837041540385254,2.412601861615394,3.2168024821538594
0.4,3.6734275537150234,4.8979034049533645,4.347694633585686,5.796926178114247,2.3674371177922895,3.1565828237230527
0.42,3.710549185372647,4.947398913830196,4.3230561077234375,5.764074810297917,2.3265724462849766,3.1020965950466355
0.44,3.7444114110546414,4.992548548072855,4.303138134807548,5.73751751307673,2.289450814627353,3.052601086169804
0.46,3.775434145228547,5.033912193638062,4.287309259097991,5.716412345463986,2.2555885889453586,3.007451451927145
0.48,3.8039819856852772,5.071975980913702,4.275021353221322,5.700028470961764,2.224565854771453,2.966087806361938
0.5,3.8303715081479646,5.107162010863952,4.265798628782306,5.687731505043076,2.1960180143147228,2.9280240190862976
0.52,3.854877598894965,5.13983679852662,4.259228096220473,5.678970794960631,2.1696284918520354,2.892837989136048
0.54,3.8777389522604038,5.170318603013872,4.2549512827901435,5.673268377053524,2.145122401105035,2.86016320147338
0.56,3.8991628431453456,5.19888379086046,4.252657042746883,5.670209390329177,2.1222610477395962,2.8296813969861283
0.58,3.919329270148693,5.225772360198257,4.252075315703929,5.669433754271907,2.1008371568546544,2.80111620913954
0.6,3.9383945523183197,5.251192736424426,4.252971708117161,5.670628944156215,2.080670729851307,2.774227639801743
0.62,3.9564944515771145,5.275325935436152,4.255142789347228,5.673523719129637,2.0616054476816803,2.748807263575574
0.64,3.9737468833762986,5.298329177835064,4.258412008062836,5.677882677417114,2.0435055484228855,2.724674064563848
0.66,3.990254269879179,5.320339026505572,4.262626147176709,5.683501529568947,2.0262531166237014,2.701670822164936
0.68,4.00610558281719,5.3414741104229195,4.267652246294368,5.690202995059158,2.009745730120821,2.6796609734944283
0.7000000000000001,4.021378116943162,5.3618374892575495,4.2733749300217125,5.697833240028951,1.9938944171828101,2.6585258895770805
0.72,4.036139029609733,5.38151870614631,4.279694088608147,5.706258784810863,1.9786218830568378,2.6381625107424505
0.74,4.050446677315486,5.400595569753981,4.286522864460412,5.715363819280549,1.9638609703902672,2.61848129385369
0.76,4.064351775994027,5.419135701325368,4.29378590418994,5.7250478722532545,1.9495533226845136,2.599404430246019
0.78,4.077898408290143,5.43719787772019,4.301417841176067,5.735223788234757,1.9356482240059734,2.5808642986746317
0.8,4.091124898001874,5.454833197335832,4.309361978245442,5.745815970993924,1.9221015917098567,2.56280212227981
0.8200000000000001,4.104064569206167,5.472086092274888,4.317569144076993,5.756758858769324,1.9088751019981256,2.545166802664168
0.84,4.116746405275649,5.488995207034197,4.325996700422096,5.767995600562797,1.8959354307938332,2.527913907725112
0.86,4.129195620988524,5.50559416131803,4.334607680250963,5.7794769070012855,1.8832535947243514,2.511004792965803
0.88,4.141434159192556,5.521912212256741,4.343370039559098,5.791160052745466,1.8708043790114761,2.4944058386819696
