time_s,target,measurement,control,applied_control,error,integral,derivative
0.0,1.0,0.05454545454545454,1.5,1.5,1.0,0.02,50.0
0.02,1.0,0.10413223140495867,1.4181818181818182,1.4181818181818182,0.9454545454545454,0.03890909090909091,-2.727272727272728
0.04,1.0,0.14921111945905333,1.343801652892562,1.343801652892562,0.8958677685950414,0.05682644628099173,-2.4793388429752037
0.06,1.0,0.19019192678095756,1.2761833208114202,1.2761833208114202,0.8507888805409467,0.07384222389181067,-2.253944402704733
0.08,1.0,0.22744720616450687,1.2147121098285636,1.2147121098285636,0.8098080732190425,0.09003838535619152,-2.0490403660952117
0.1,1.0,0.2613156419677335,1.1588291907532398,1.1588291907532398,0.7725527938354931,0.10548944123290138,-1.8627639691774667
0.12,1.0,0.2921051290615759,1.1080265370483997,1.1080265370483997,0.7386843580322665,0.12026312839354672,-1.6934217901613313
0.14,1.0,0.3200955718741599,1.061842306407636,1.061842306407636,0.7078948709384241,0.1344210258123152,-1.539474354692122
0.16,1.0,0.34554142897650897,1.0198566421887603,1.0198566421887603,0.6799044281258402,0.14801911437483198,-1.3995221406291947
0.18,1.0,0.36867402634228086,0.9816878565352365,0.9816878565352365,0.654458571023491,0.1611082857953018,-1.2722928551174573
0.2,1.0,0.38970366031116443,0.9469889604865787,0.9469889604865787,0.6313259736577191,0.17373480526845617,-1.1566298682885945
0.22,1.0,0.40882150937378586,0.9154445095332533,0.9154445095332533,0.6102963396888356,0.18594073206223288,-1.0514816984441788
0.24,1.0,0.42620137215798715,0.8867677359393211,0.8867677359393211,0.5911784906262141,0.19776430187475716,-0.9558924531310742
0.26,1.0,0.44200124741635194,0.8606979417630193,0.8606979417630193,0.5737986278420129,0.20924027443159743,-0.8689931392100614
0.28,1.0,0.45636477037850176,0.8369981288754721,0.8369981288754721,0.5579987525836481,0.2204002494832704,-0.7899937629182396
0.3,1.0,0.4694225185259107,0.8154528444322473,0.8154528444322473,0.5436352296214982,0.23127295407570037,-0.7181761481074911
0.32,1.0,0.4812931986599188,0.795866222211134,0.795866222211134,0.5305774814740893,0.24188450370518216,-0.6528874073704449
0.34,1.0,0.4920847260544717,0.7780602020101217,0.7780602020101217,0.5187068013400812,0.2522586397319838,-0.593534006700408
0.36,1.0,0.5018952055040652,0.7618729109182926,0.7618729109182926,0.5079152739455284,0.26241694521089437,-0.5395763697276401
0.38,1.0,0.5108138231855138,0.7471571917439022,0.7471571917439022,0.4981047944959348,0.27237904110081307,-0.4905239724796784
0.4,1.0,0.5189216574413762,0.7337792652217292,0.7337792652217292,0.4891861768144862,0.28216276463710277,-0.44593088407243187
0.42,1.0,0.5262924158557966,0.7216175138379357,0.7216175138379357,0.4810783425586238,0.29178433148827526,-0.40539171279311836
0.44,1.0,0.5329931053234515,0.7105613762163052,0.7105613762163052,0.47370758414420344,0.30125848317115933,-0.3685379207210182
0.46,1.0,0.5390846412031377,0.7005103420148229,0.7005103420148229,0.46700689467654855,0.31059862106469033,-0.33503447338274484
0.48,1.0,0.5446224010937616,0.6913730381952934,0.6913730381952934,0.4609153587968623,0.3198169282406276,-0.3045767939843125
0.5,1.0,0.549656728267056,0.6830663983593577,0.6830663983593577,0.4553775989062384,0.32892448021875237,-0.27688799453119417
0.52,1.0,0.5542333893336873,0.675514907599416,0.675514907599416,0.450343271732944,0.33793134565341126,-0.251716358664722
0.54,1.0,0.558393990303352,0.6686499159994691,0.6686499159994691,0.44576661066631273,0.3468466778667375,-0.2288330533315619
0.56,1.0,0.5621763548212291,0.6624090145449719,0.6624090145449719,0.441606009696648,0.3556787980606705,-0.20803004848323758
0.58,1.0,0.5656148680192992,0.6567354677681564,0.6567354677681564,0.4378236451787709,0.3644352709642459,-0.18911822589385285
0.6,1.0,0.5687407891084538,0.6515776979710513,0.6515776979710513,0.43438513198070083,0.3731229736038599,-0.1719256599035046
0.62,1.0,0.5715825355531399,0.6468888163373192,0.6468888163373192,0.4312592108915462,0.3817481578216908,-0.15629605445773298
0.64,1.0,0.5741659414119453,0.6426261966702902,0.6426261966702902,0.42841746444686013,0.390316507110628,-0.1420873222343022
