time_s,target,measurement,control,applied_control,error,integral,derivative
0.0,1.0,0.07272727272727272,2.0,2.0,1.0,0.0,50.0
0.02,1.0,0.10526545454545452,0.9675272727272726,0.9675272727272726,0.9272727272727272,0.018545454545454546,-3.6363636363636376
0.04,1.0,0.14406964998347105,1.1723808290909092,1.1723808290909092,0.8947345454545454,0.03644014545454545,-1.62690909090909
0.06,1.0,0.17841480740643967,1.0885614791151077,1.0885614791151077,0.855930350016529,0.05355875245487603,-1.9402097719008249
0.08,1.0,0.21102882036501464,1.0753001637672517,1.0753001637672517,0.8215851925935603,0.06999045630674723,-1.717257871148431
0.1,1.0,0.24145728535649197,1.0478116076306416,1.0478116076306416,0.7889711796349854,0.08576987989944694,-1.6307006479287456
0.12,1.0,0.26998254028720203,1.025901795951019,1.025901795951019,0.758542714643508,0.1009407341923171,-1.5214232495738722
0.14,1.0,0.2967014813078688,1.0047534183555382,1.0047534183555382,0.730017459712798,0.11554108338657305,-1.4262627465355004
0.16,1.0,0.3217435754256367,0.9853590695464873,0.9853590695464873,0.7032985186921312,0.12960705376041567,-1.335947051033337
0.18,1.0,0.3452202672185688,0.9673525997312695,0.9673525997312695,0.6782564245743633,0.14317218225190295,-1.252104705888396
0.2,1.0,0.3672375990378873,0.9506968922498262,0.9506968922498262,0.6547797327814312,0.15626777690753157,-1.1738345896466051
0.22,1.0,0.3878938946356368,0.9352857279759994,0.9352857279759994,0.6327624009621127,0.16892302492677383,-1.1008665909659265
0.24,1.0,0.40728091619011875,0.9210369873838913,0.9210369873838913,0.6121061053643633,0.18116514703406109,-1.0328147798874698
0.26,1.0,0.42548416165539116,0.9078701664851108,0.9078701664851108,0.5927190838098813,0.1930195287102587,-0.969351077724101
0.28,1.0,0.44258332583371457,0.8957111765592844,0.8957111765592844,0.5745158383446088,0.2045098454771509,-0.9101622732636205
0.3,1.0,0.4586526867652821,0.8844907514518209,0.8844907514518209,0.5574166741662854,0.2156581789604766,-0.8549582089161734
0.32,1.0,0.4737614760436461,0.8741443919202921,0.8741443919202921,0.541347313234718,0.22648512522517095,-0.8034680465783706
0.34,1.0,0.4879742215423264,0.8646119772573546,0.8646119772573546,0.5262385239563538,0.23700989570429803,-0.755439463918206
0.36,1.0,0.5013510673984544,0.855837482585845,0.855837482585845,0.5120257784576736,0.24725041127345151,-0.7106372749340117
0.38,1.0,0.5139480721008156,0.8477686967133884,0.8477686967133884,0.49864893260154564,0.25722338992548244,-0.6688422928063986
0.4,1.0,0.5258174863361691,0.8403569635730354,0.8403569635730354,0.4860519278991844,0.2669444284834661,-0.6298502351180624
0.42,1.0,0.5370080119317028,0.8335569402133454,0.8335569402133454,0.4741825136638309,0.27642807875674275,-0.5934707117676741
0.44,1.0,0.5475650431884379,0.8273263714919199,0.8273263714919199,0.4629919880682972,0.2856879185181087,-0.5595262797766842
0.46,1.0,0.5575308918010391,0.8216258800349703,0.8216258800349703,0.4524349568115621,0.29473661765433995,-0.5278515628367564
0.48,1.0,0.5669449964808434,0.8164187704956576,0.8164187704956576,0.4424691081989609,0.3035859998183192,-0.49829243063005957
0.5,1.0,0.5758441183223401,0.8116708471220008,0.8116708471220008,0.4330550035191566,0.3122470998887023,-0.47070523399021513
0.52,1.0,0.584262522882731,0.8073502437330887,0.8073502437330887,0.42415588167765994,0.3207302175222555,-0.444956092074833
0.54,1.0,0.5922321498782236,0.8034272652587788,0.8034272652587788,0.41573747711726905,0.3290449670646009,-0.42092022801954454
0.56,1.0,0.5997827713392567,0.7998742400566343,0.7998742400566343,0.4077678501217764,0.3372003240670364,-0.398481349774632
0.58,1.0,0.606942139009578,0.796665382273092,0.796665382273092,0.4002172286607433,0.3452046686402513,-0.3775310730516568
0.6,1.0,0.6137361217207115,0.7937766635657468,0.7937766635657468,0.39305786099042195,0.35306582586005975,-0.3579683835160663
0.62,1.0,0.6201888334235978,0.7911856935500843,0.7911856935500843,0.38626387827928854,0.3607911034256455,-0.3396991355566703
0.64,1.0,0.6263227525128235,0.7888716083773071,0.7888716083773071,0.37981116657640224,0.36838732675717356,-0.32263558514431523
0.66,1.0,0.6321588330356391,0.786814966890252,0.786814966890252,0.37367724748717646,0.37586087170691707,-0.30669595446128906
0.68,1.0,0.6377166083376883,0.7849976538419907,0.7849976538419907,0.36784116696436087,0.3832176950462043,-0.2918040261407795
0.7000000000000001,1.0,0.6430142876598374,0.7834027896967881,0.7834027896967881,0.3622833916623117,0.39046336287945055,-0.2778887651024575
0.72,1.0,0.6480688461655061,0.7820146465657271,0.7820146465657271,0.35698571234016263,0.3976030771262538,-0.26488396610745424
0.74,1.0,0.6528961088452983,0.7808185698597891,0.7808185698597891,0.3519311538344939,0.4046417002029437,-0.2527279252834358
0.76,1.0,0.6575108287153429,0.779800905271526,0.779800905271526,0.34710389115470175,0.41158377802603774,-0.2413631339896083
0.78,1.0,0.661926759697437,0.7789489307229289,0.7789489307229289,0.34248917128465706,0.4184335614517309,-0.23073599350223462
0.8,1.0,0.6661567245426839,0.7782507929417278,0.7782507929417278,0.338073240302563,0.42519502625778216,-0.22079654910470148
0.8200000000000001,1.0,0.670212678135726,0.7776954483513423,0.7776954483513423,0.33384327545731607,0.4318718917669285,-0.21149824226234792
0.84,1.0,0.67410576649374,0.777272607981108,0.777272607981108,0.32978732186427395,0.43846763820421397,-0.20279767965210582
0.86,1.0,0.6778463817529983,0.7769726861233438,0.7769726861233438,0.32589423350626,0.4449855228743392,-0.19465441790069704
0.88,1.0,0.6814442134158873,0.7767867524824483,0.7767867524824483,0.3221536182470017,0.4514285952392792,-0.1870307629629142
0.9,1.0,0.6849082961127099,0.7767064875785075,0.7767064875785075,0.31855578658411265,0.45779971097096145,-0.17989158314445364
0.92,1.0,0.6882470541153057,0.776724141184095,0.776724141184095,0.31509170388729013,0.46410154504870726,-0.17320413484112618
0.9400000000000001,1.0,0.6914683428234017,0.7768324935879469,0.7768324935879469,0.31175294588469427,0.47033660396640115,-0.16693790012979326
0.96,1.0,0.694579487429579,0.7770248194932745,0.7770248194932745,0.30853165717659825,0.4765072371099331,-0.16106443540480075
