time_s,lateral_error_m,yaw_rad,yaw_rate_cmd
0.0,0.7991604389711637,-0.055999999999999994,-1.1199999999999999
0.05,0.7974848251076335,-0.11194123072798146,-1.1188246145596292
0.1,0.7949801354199066,-0.16776516848551581,-1.116478755150687
0.15000000000000002,0.7916567377867729,-0.22341377796490927,-1.1129721895878693
0.2,0.7875282760254719,-0.27882974960998336,-1.108319432901482
0.25,0.7826115202977494,-0.3339567289317664,-1.1025395864356606
0.30000000000000004,0.7769261858240937,-0.38873953535260886,-1.0956561284168491
0.35000000000000003,0.7704947234391344,-0.4431243683602954,-1.087696660153731
0.4,0.7633420859729935,-0.4970589990010348,-1.078692612814788
0.45,0.7554954747761132,-0.5504929450191444,-1.0686789203621907
0.5,0.7469840709136641,-0.6033776282534723,-1.0576936646865585
0.55,0.737838755640014,-0.6556665132174287,-1.0457776992791297
0.6000000000000001,0.7280918247285991,-0.7073152261122297,-1.0329742578960195
0.65,0.7177767010867506,-0.7582816538432317,-1.0193285546200388
0.7000000000000001,0.7069276498409296,-0.8085260229193042,-1.0048873815214507
0.75,0.6955794997503782,-0.8580109584081692,-0.9896987097773013
0.8,0.6837673744130847,-0.9067015233906957,-0.9738112996505295
0.8500000000000001,0.6715264362847296,-0.9545652395996116,-0.9572743241783185
0.9,0.6588916460564556,-1.0015720901395426,-0.9401370107986214
0.9500000000000001,0.6458975394476653,-1.0476945053634945,-0.9224483044790377
1.0,0.6325780229810699,-1.0929073331248311,-0.9042565552267313
1.05,0.6189661898324764,-1.137187794733506,-0.8856092321734979
1.1,0.6050941563988296,-1.1805154280217793,-0.866552665765467
1.1500000000000001,0.5909929198139799,-1.2228720189696973,-0.8471318189583613
1.2000000000000002,0.5766922362693786,-1.264241523356676,-0.8273900877395719
1.25,0.5622205196709581,-1.3046099798955324,-0.80736913077713
1.3,0.5476047598863142,-1.3439654162724994,-0.7871087275393412
1.35,0.5328704596085262,-1.3822977494645414,-0.7666466638408398
1.4000000000000001,0.5180415886835362,-1.4195986816371382,-0.7460186434519366
1.4500000000000002,0.5031405546146128,-1.4558615928449858,-0.7252582241569506
1.5,0.488188187866734,-1.4910814316680088,-0.704396776460458
1.55,0.47320374054167597,-1.5252546048186801,-0.6834634630134275
1.6,0.4582048969766884,-1.5583788666565974,-0.6624852367583464
1.6500000000000001,0.4432077948311438,-1.5904532094449657,-0.6414868557673638
1.7000000000000002,0.4282270552617076,-1.6214777550831458,-0.6204909127636012
1.75,0.41327582084277514,-1.6514536489514653,-0.5995178773663906
1.8,0.3983657999607852,-1.6803829564104595,-0.5785861491798852
1.85,0.3835073164945473,-1.7082685624077145,-0.5577121199450993
1.9000000000000001,0.3687093636852867,-1.7351140745623328,-0.5369102430923661
1.9500000000000002,0.35397966119655827,-1.760923730020303,-0.5161931091594013
2.0,0.33932471446277934,-1.785702306304062,-0.49557152567518153
2.0500000000000003,0.3247498755236038,-1.8094550363164565,-0.47505460024789103
2.1,0.31025940463784824,-1.8321875276031088,-0.4546498257330453
2.15,0.2958565320637111,-1.853905685927758,-0.4343631664929875
2.2,0.28154351948048884,-1.8746156431722178,-0.4141991448891955
2.25,0.2673217206100805,-1.8943236895358522,-0.39416092727268437
2.3000000000000003,0.2531916406737596,-1.9130362099785578,-0.3742504088541127
2.35,0.239152994390675,-1.930759624825721,-0.35446829694326343
2.4000000000000004,0.2252047622892208,-1.9475003344330684,-0.33481419214694497
2.45,0.21134524516082945,-1.9632646677933139,-0.3152866672049091
2.5,0.19757211653807244,-1.978058834954572,-0.2958833432251612
2.5500000000000003,0.1838824731254571,-1.991888883112237,-0.2766009631533014
2.6,0.1702728831523246,-2.004760656231019,-0.2574354623756399
2.6500000000000004,0.15673943265315715,-2.0166797580516818,-0.23838203641325445
2.7,0.143277769711802,-2.027651518337403,-0.21943520571442
2.75,0.12988314673303214,-2.037680962217229,-0.2005888775965228
2.8000000000000003,0.11655046082790564,-2.0467727824885413,-0.181836405426245
2.85,0.1032742924189696,-2.054931314746495,-0.1631706451590679
2.9000000000000004,0.09004894218786468,-2.062160515215823,-0.14458400938655744
2.95,0.07686846650169438,-2.0684639411689734,-0.12606851906301053
3.0,0.06372671146596438,-2.073844733824092,-0.10761585310237212
3.0500000000000003,0.05061734576128085,-2.0783056036267094,-0.08921739605235013
3.1,0.03753389242859715,-2.081848817829999,-0.07086428406579319
3.1500000000000004,0.02446975977385659,-2.084476190300001,-0.05254744940003601
3.2,0.011418271567600315,-2.0861890734841713,-0.03425766368339923
3.25,-0.0016273032813348756,-2.0869883524939032,-0.01598558019464044
3.3000000000000003,-0.01467372139637848,-2.08687444126421,0.0022782245938688258
3.35,-0.027727735764802613,-2.0858472807664636,0.02054320995492987
3.4000000000000004,-0.040796066546336565,-2.0839063392629273,0.038818830070723655
3.45,-0.053885371674946995,-2.081050614604684,0.05711449316487119
3.5,-0.06700221707085352,-2.0772786385874378,0.07543952034492579
3.5500000000000003,-0.08015304628166907,-2.072588483392478,0.09380310389919493
3.6,-0.09334414937432613,-2.066977770152761,0.11221426479433669
3.6500000000000004,-0.10658163090328265,-2.0604436796965584,0.13068180912405658
3.7,-0.11987137678553887,-2.0529829655333285,0.1492142832645957
3.75,-0.13321901991941862,-2.0445919691583407,0.1678199274997544
3.8000000000000003,-0.14662990439209042,-2.0352666377639816,0.18650662788718606
3.85,-0.16010904813067328,-2.025002544456535,0.20528186614892657
3.9000000000000004,-0.17366110386377417,-2.013794911087388,0.22415266738294257
3.95,-0.1872903182747528,-2.001638633816924,0.24312554540928383
4.0,-0.20100048924525213,-1.9885283115376915,0.2622064455846539
4.05,-0.21479492110794138,-1.974458277290524,0.28140068494335296
4.1000000000000005,-0.22867637785138778,-1.959422632812968,0.3007128895511179
4.15,-0.24264703424791603,-1.943415286363371,0.32014692899194286
4.2,-0.25670842490764806,-1.9264299939660168,0.3397058479470824
4.25,-0.2708613912990578,-1.9084604042224813,0.35939179487070727
4.3,-0.2851060268187266,-1.8895001068315473,0.3792059478186809
4.3500000000000005,-0.2994416200409148,-1.8695426849542365,0.3991484375462172
4.4,-0.3138665963313898,-1.8485817715513724,0.4192182680572807
4.45,-0.3283784580699182,-1.8266111098081752,0.4394132348639457
4.5,-0.34297372379208,-1.8036246177432809,0.45972984129788547
4.55,-0.3576478666336116,-1.7796164570778352,0.480163213308912
4.6000000000000005,-0.3723952525391794,-1.7545811064134824,0.5007070132870562
4.65,-0.387209078781975,-1.72851343873574,0.5213533535548511
4.7,-0.40208131343021075,-1.7014088032210017,0.542092710294765
4.75,-0.41700263649060565,-1.673263111280887,0.5629138388022951
4.800000000000001,-0.43196238355608785,-1.6440729267265446,0.5838036910868478
4.8500000000000005,-0.44694849288363236,-1.6138355598776184,0.6047473369785229
4.9,-0.4619474569264468,-1.5825491653757642,0.6257278900370853
4.95,-0.4769442794402177,-1.5502128433909128,0.6467264396970255
5.0,-0.4919224393730086,-1.5168267438300975,0.6677219912163048
5.050000000000001,-0.5068638628293685,-1.4823921730739869,0.688691415122212
5.1000000000000005,-0.5217489044675601,-1.446911702675931,0.7096094079611158
5.15,-0.536556339740434,-1.4103892793632018,0.730448466254584
5.2,-0.551263369420925,-1.3728303355813714,0.7511788756366076
5.25,-0.5658456378577619,-1.3342418997219065,0.771768717189295
5.300000000000001,-0.5802772663809963,-1.2946327050718631,0.7921838930008666
5.3500000000000005,-0.5945309032156756,-1.2540132964251933,0.8123881729333948
5.4,-0.6085777911609933,-1.212396133200096,0.8323432645019457
5.45,-0.6223878541476546,-1.1697956878188265,0.8520089076253906
5.5,-0.6359298035948797,-1.1262285380284907,0.8713429958067165
5.550000000000001,-0.6491712652484153,-1.081713451776849,0.8903017250328316
5.6000000000000005,-0.66207892689148,-1.0362714632094598,0.9088397713477814
5.65,-0.6746187069827605,-0.9899259383270562,0.9269104976480719
5.7,-0.6867559438923709,-0.942702628838263,0.9444661897758646
5.75,-0.6984556049831947,-0.894629712765797,0.9614583214493192
5.800000000000001,-0.7096825143286793,-0.8457378204169733,0.9778378469764725
5.8500000000000005,-0.7204015973787038,-0.7960600444139657,0.993555520060151
5.9,-0.7305781403946351,-0.7456319325974564,1.0085622363301852
5.95,-0.7401780619872468,-0.694491462769832,1.0228093965524891
6.0,-0.749168193622613,-0.6426789984307247,1.0362492867821453
6.050000000000001,-0.7575165655284629,-0.5902372248771418,1.048835471071658
6.1000000000000005,-0.7651926940543805,-0.5372110652901494,1.060523191739848
6.15,-0.7721678662310715,-0.48364757670634273,1.0712697716761326
6.2,-0.7784154170530334,-0.4295958260701677,1.0810350127235
6.25,-0.7839109948897514,-0.3751067468764554,1.0897815838742466
6.300000000000001,-0.7886328104245411,-0.3202329772341728,1.0974753928456518
6.3500000000000005,-0.7925618646352647,-0.26502868050445494,1.1040859345943574
6.4,-0.7956821515708967,-0.20954934997998642,1.1095866104893706
6.45,-0.7979808320410382,-0.15385159937002366,1.1139550121992554
6.5,-0.7994483748155954,-0.09799294112715098,1.1171731648574534
6.550000000000001,-0.8000786625175585,-0.04203155489005931,1.1192277247418334
6.6000000000000005,-0.7998690600669793,0.01397395148616979,1.120110127524582
6.65,-0.7988204442786063,0.06996478569085834,1.1198166840937709
6.7,-0.7969371940056739,0.12588221679036077,1.1183486219900487
6.75,-0.7942271410323575,0.18166782037075793,1.1157120716079434
6.800000000000001,-0.7907014827207601,0.23726372024302295,1.1119179974453004
6.8500000000000005,-0.7863746581886384,0.29261282403347616,1.106982075809064
6.9,-0.7812641905066714,0.34765905010668086,1.1009245214640937
6.95,-0.7753904980368972,0.40234754344214785,1.0937698667093398
7.0,-0.7687766785687016,0.45662487830473064,1.085546697251656
7.050000000000001,-0.761448270331597,0.5104392458045397,1.076287349996182
7.1000000000000005,-0.7534329942660658,0.5637406247277514,1.0660275784642357
7.15,-0.7447604821111451,0.6164809343263761,1.054806191972492
7.2,-0.7354619949213783,0.6686141680741562,1.042664674955603
7.25,-0.7255701365620311,0.7200965077186526,1.0296467928899296
7.300000000000001,-0.7151185665598833,0.7708864172779948,1.0157981911868434
