feature,importance
steering_deg_maxabs_w,0.12347305226340516
accel_mps2_mean_w,0.09605442853917452
accel_mps2_maxabs_w,0.08706269558664943
ttc_s,0.08643986907466208
ttc_s_mean_w,0.08411274097884462
front_distance_m,0.08113859811833085
motor_current_a_mean_w,0.059672119827973685
steering_deg_mean_w,0.05576978596866838
steering_deg,0.05307356474195203
ttc_s_maxabs_w,0.048878448184542726
speed_mps,0.038085849021042326
yaw_rate_rps,0.03739295921076943
motor_current_a,0.035005345713679664
ttc_s_std_w,0.026856010359129875
accel_mps2,0.0251436936647852
motor_current_a_maxabs_w,0.019783268036331954
jerk_mps3_maxabs_w,0.010363160551424305
steering_deg_std_w,0.006773513134335365
motor_current_a_std_w,0.0065406412178043065
jerk_mps3_mean_w,0.005583609509257364
accel_mps2_std_w,0.0045273245322805305
jerk_mps3_std_w,0.004289184179174822
battery_voltage_v,0.002486489018392298
jerk_mps3,0.0007703491730080091
steering_rate_dps,0.0007232993943811658
