time_s,mode,linear_mps,angular_rps,x_m,y_m,yaw_rad,position_error_m
0.05,estimate,0.18,0.4,0.009,0.0,0.020000000000000004,0.0
0.1,estimate,0.18,0.4,0.0179982000599992,0.00017998800023999776,0.04000000000000001,2.2499994140625414e-05
0.15000000000000002,estimate,0.18,0.4,0.026991001019948002,0.0005398920079197053,0.06000000000000001,6.749656059113504e-05
0.2,estimate,0.18,0.4,0.03597480587936484,0.0010795680662347069,0.08000000000000002,0.00013498285621044945
0.25,estimate,0.18,0.4,0.044946021236088415,0.0017988003119572614,0.10000000000000002,0.00022494861758789572
0.3,estimate,0.18,0.4,0.05390105872359065,0.002697301061778715,0.12000000000000002,0.00033738016260417885
0.35,estimate,0.18,0.4,0.06283633644627544,0.0037747109273789893,0.14,0.00047226039251239087
0.39999999999999997,estimate,0.18,0.4,0.07174828041218917,0.005030598959177118,0.16000000000000003,0.0006295687945388268
0.44999999999999996,estimate,0.18,0.4,0.08063332596256981,0.006464462818705332,0.18000000000000005,0.0008092814450033067
0.49999999999999994,estimate,0.18,0.4,0.0894879191976629,0.00807572897953775,0.20000000000000007,0.001011371012958639
0.5499999999999999,estimate,0.18,0.4,0.09830851839823407,0.009863752956693301,0.22000000000000008,0.0012358067643488137
0.6,estimate,0.18,0.4,0.10709159544220952,0.011827819564421126,0.2400000000000001,0.0014825545666854345
0.65,estimate,0.18,0.4,0.11583363721587778,0.013967143202265338,0.2600000000000001,0.0017515768942418823
0.7000000000000001,estimate,0.18,0.4,0.12453114701908839,0.016280868169294735,0.28000000000000014,0.002042832833764554
0.7500000000000001,estimate,0.18,0.4,0.13318064596388532,0.01876806900637176,0.30000000000000016,0.002356278090700604
0.8000000000000002,estimate,0.18,0.4,0.14177867436601577,0.021427750866323817,0.3200000000000002,0.0026918649959413767
0.8500000000000002,estimate,0.18,0.4,0.15032179312875774,0.024258849911868878,0.3400000000000002,0.0030495425130808496
0.9000000000000002,estimate,0.18,0.4,0.15880658511851284,0.02726023374113621,0.3600000000000002,0.003429256246188166
0.9500000000000003,estimate,0.18,0.4,0.16722965653161426,0.030430701840612022,0.3800000000000003,0.0038309484480934593
1.0000000000000002,estimate,0.18,0.4,0.17558763825180285,0.03376898606532887,0.40000000000000024,0.004254558029185893
1.0500000000000003,estimate,0.18,0.4,0.1838771871978288,0.037273751146106725,0.42000000000000026,0.0047000205667230436
1.1000000000000003,estimate,0.18,0.4,0.1920949876606396,0.04094359522364286,0.4400000000000003,0.005167268314650491
1.1500000000000004,estimate,0.18,0.4,0.20023775262961926,0.04477705040923686,0.4600000000000003,0.005656230213930434
1.2000000000000004,estimate,0.18,0.4,0.208302225107349,0.04877258337192654,0.4800000000000003,0.006166831903378297
1.2500000000000004,estimate,0.18,0.4,0.21628517941236255,0.05292859595179989,0.5000000000000003,0.006698995731005939
1.3000000000000005,estimate,0.18,0.4,0.22418342246937592,0.05724342579923772,0.5200000000000004,0.007252640765870269
1.3500000000000005,estimate,0.18,0.4,0.23199379508647477,0.06171534703983135,0.5400000000000004,0.00782768281042581
1.4000000000000006,estimate,0.18,0.4,0.2397131732187492,0.06634257096470937,0.5600000000000004,0.008424034413379957
1.4500000000000006,estimate,0.18,0.4,0.24733846921786992,0.07112324674599732,0.5800000000000004,0.009041604883049335
1.5000000000000007,estimate,0.18,0.4,0.2548666330671066,0.07605546217712418,0.6000000000000004,0.009680300301215706
1.5500000000000007,estimate,0.18,0.4,0.2622946536012937,0.0811372444376795,0.6200000000000004,0.010340023537480014
1.6000000000000008,estimate,0.18,0.4,0.2696195597112565,0.08636656088251525,0.6400000000000005,0.011020674264112722
1.6500000000000008,estimate,0.18,0.4,0.27683842153221516,0.09174131985477678,0.6600000000000005,0.011722148971398982
1.7000000000000008,estimate,0.18,0.4,0.28394835161569143,0.09725937152253769,0.6800000000000005,0.012444340983476644
1.7500000000000009,estimate,0.18,0.4,0.2909465060844498,0.10291850873870391,0.7000000000000005,0.013187140474665593
1.800000000000001,estimate,0.18,0.4,0.2978300857700102,0.10871646792384314,0.7200000000000005,0.013950434486286164
1.850000000000001,estimate,0.18,0.4,0.30459633733227826,0.11465092997158641,0.7400000000000005,0.014734106943965203
1.900000000000001,estimate,0.18,0.4,0.3112425543608445,0.12071952117623971,0.7600000000000006,0.015538038675427478
1.950000000000001,estimate,0.18,0.4,0.31776607845751265,0.1269198141822347,0.7800000000000006,0.016362107428770485
2.000000000000001,estimate,0.18,0.4,0.3241643002996231,0.13324932895503838,0.8000000000000006,0.017206187891220807
2.0500000000000007,estimate,0.18,0.4,0.3304346606837476,0.13970553377313408,0.8200000000000006,0.01807015170836946
2.1000000000000005,estimate,0.18,0.4,0.33657465154933613,0.14628584624067614,0.8400000000000006,0.018953867503884576
2.1500000000000004,estimate,0.18,0.4,0.3425818169819079,0.15298763432041387,0.8600000000000007,0.01985720089969885
2.2,estimate,0.18,0.4,0.3484537541953844,0.15980821738647136,0.8800000000000007,0.02078001453666954
2.25,estimate,0.18,0.4,0.3541881144931716,0.16674486729656207,0.9000000000000007,0.021722168095709038
2.3,estimate,0.18,0.4,0.3597826042076076,0.1737948094832094,0.9200000000000007,0.02268351831938292
2.3499999999999996,estimate,0.18,0.4,0.36523498561739876,0.1809552240635367,0.9400000000000007,0.023663919033973874
2.3999999999999995,estimate,0.18,0.4,0.37054307784267865,0.18822324696718273,0.9600000000000007,0.02466322117200846
2.4499999999999993,estimate,0.18,0.4,0.37570475771733075,0.19559597108189172,0.9800000000000008,0.025681272795244545
2.499999999999999,estimate,0.18,0.4,0.3807179606382267,0.20307044741631947,1.0000000000000007,0.026717919118116516
2.549999999999999,estimate,0.18,0.4,0.38558068139103996,0.21064368627959054,1.0200000000000007,0.02777300253163603
2.5999999999999988,estimate,0.18,0.4,0.3902909749523048,0.21831265847713482,1.0400000000000007,0.028846362627745394
2.6499999999999986,estimate,0.18,0.4,0.3948469572673998,0.22607429652232489,1.0600000000000007,0.02993783622412094
2.6999999999999984,estimate,0.18,0.4,0.3992468060041446,0.23392549586342976,1.0800000000000007,0.03104725738942363
2.7499999999999982,estimate,0.18,0.4,0.40348876128170824,0.2418631161253943,1.1000000000000008,0.032174457468994166
2.799999999999998,estimate,0.18,0.4,0.4075711263745384,0.24988398236594722,1.1200000000000008,0.03331926511098982
2.849999999999998,estimate,0.18,0.4,0.4114922683910288,0.2579848863455358,1.1400000000000008,0.0344815062929599
2.8999999999999977,estimate,0.18,0.4,0.41525061892665405,0.2661625878105787,1.1600000000000008,0.03566100434885717
2.9499999999999975,estimate,0.18,0.4,0.4188446746913105,0.2744138157895246,1.1800000000000008,0.036857579996481954
2.9999999999999973,estimate,0.18,0.4,0.4222729981106124,0.2827352699011968,1.2000000000000008,0.03807105136535649
3.049999999999997,estimate,0.18,0.4,0.42553421790090246,0.29112362167490186,1.2200000000000009,0.03930123402502567
3.099999999999997,estimate,0.18,0.4,0.42862702961774685,0.29957551588177345,1.2400000000000009,0.04054794101378201
3.149999999999997,estimate,0.18,0.4,0.4315501961776958,0.3080875718768193,1.260000000000001,0.041810982867810854
3.1999999999999966,estimate,0.18,0.4,0.4343025483531004,0.3166563849511339,1.280000000000001,0.04309016765075333
3.2499999999999964,estimate,0.18,0.4,0.43688298523978797,0.32527852769373694,1.300000000000001,0.044385300983683436
3.2999999999999963,estimate,0.18,0.4,0.43929047469740923,0.3339505513624917,1.320000000000001,0.04569618607549635
3.349999999999996,estimate,0.18,0.4,0.4415240537622806,0.3426689872635561,1.340000000000001,0.047022623753704425
3.399999999999996,estimate,0.18,0.4,0.44358282903255675,0.35143034813881396,1.360000000000001,0.048364412495637596
3.4499999999999957,estimate,0.18,0.4,0.4454659770255795,0.36023112956073183,1.380000000000001,0.049721348460044903
3.4999999999999956,estimate,0.18,0.4,0.44717274450726,0.36906781133408306,1.400000000000001,0.051093225519094274
3.5499999999999954,estimate,0.18,0.4,0.4487024487933622,0.3779368589039792,1.420000000000001,0.05247983529076586
3.599999999999995,estimate,0.18,0.4,0.4500544780225674,0.3868347247696447,1.440000000000001,0.053880967171637005
3.649999999999995,estimate,0.18,0.4,0.4512282914012107,0.3957578499033699,1.460000000000001,0.05529640837005431
3.699999999999995,estimate,0.18,0.4,0.4522234194195913,0.40470266517407466,1.480000000000001,0.0567259439396899
3.7499999999999947,estimate,0.18,0.4,0.4530394640397701,0.41366559277491344,1.500000000000001,0.058169356813477784
3.7999999999999945,estimate,0.18,0.4,0.4536760988547794,0.4226430476543499,1.5200000000000011,0.05962642783792766
