time_s,mode,linear_mps,angular_rps,x_m,y_m,yaw_rad
0.05,arc,0.15,0.5,0.0075,0.0,0.025
0.1,arc,0.15,0.5,0.01499765637206777,0.0001874804693603425,0.05
0.15000000000000002,arc,0.15,0.5,0.022488283325030018,0.0005623242388904299,0.07500000000000001
0.2,arc,0.15,0.5,0.029967199460871573,0.0011242970434359977,0.09999999999999999
0.25,arc,0.15,0.5,0.03742973070045677,0.0018730476682872086,0.125
0.3,arc,0.15,0.5,0.04487121320467674,0.0028081081686764163,0.15
0.35,arc,0.15,0.5,0.05228699628919706,0.00392889416222841,0.175
0.39999999999999997,arc,0.15,0.5,0.05967244533098406,0.005234705194180379,0.19999999999999998
0.44999999999999996,arc,0.15,0.5,0.06702294466479337,0.006724725175143338,0.22499999999999998
0.49999999999999994,arc,0.15,0.5,0.07433390046781045,0.008398022891131429,0.24999999999999997
0.5499999999999999,arc,0.15,0.5,0.0816007436306403,0.010253552585540351,0.27499999999999997
0.6,arc,0.15,0.5,0.08881893261285208,0.012290154612711197,0.3
0.65,arc,0.15,0.5,0.09598395628129412,0.014506556162671243,0.325
0.7000000000000001,arc,0.15,0.5,0.10309133672940524,0.01690137205659875,0.35000000000000003
0.7500000000000001,arc,0.15,0.5,0.11013663207576058,0.019473105612514637,0.37500000000000006
0.8000000000000002,arc,0.15,0.5,0.11711543924010294,0.022220149580659994,0.4000000000000001
0.8500000000000002,arc,0.15,0.5,0.12402339669512458,0.025140787147974873,0.4250000000000001
0.9000000000000002,arc,0.15,0.5,0.13085618719227982,0.02823319301105056,0.4500000000000001
0.9500000000000003,arc,0.15,0.5,0.1376095404599249,0.03149543451688479,0.47500000000000014
1.0000000000000002,arc,0.15,0.5,0.14427923587209868,0.034925472870726955,0.5000000000000001
1.0500000000000003,arc,0.15,0.5,0.15086110508627648,0.03852116441025848,0.5250000000000001
1.1000000000000003,arc,0.15,0.5,0.15735103464844855,0.04228026194531196,0.5500000000000002
1.1500000000000004,arc,0.15,0.5,0.16374496856389484,0.0462004161622919,0.5750000000000002
1.2000000000000004,arc,0.15,0.5,0.17003891083204975,0.050279177092419226,0.6000000000000002
1.2500000000000004,arc,0.15,0.5,0.17622892794387235,0.05451399564288199,0.6250000000000002
1.3000000000000005,arc,0.15,0.5,0.1823111513401615,0.05890222518993546,0.6500000000000002
1.3500000000000005,arc,0.15,0.5,0.1882817798292794,0.06344112323295575,0.6750000000000003
1.4000000000000006,arc,0.15,0.5,0.19413708196277277,0.0681278531084135,0.7000000000000003
